movieCd,movieNm,openDt,audiAcc,movieNmEn,showTm,nations,genres1,genres2,director,actors1,actors2,actors3,audit,companyCd,companyNm,rating
20239691,방탄소년단: 옛 투 컴 인 시네마,2023-02-01,87520,BTS: Yet To Come in Cinemas,103,한국,공연,,오윤동,김남준,김석진,민윤기,전체관람가,20203082.0,씨제이포디플렉스 주식회사,9.66
20239573,서치 2,2023-02-22,409824,Missing,110,미국,미스터리,스릴러,니콜라스 D 존슨,스톰 리드,켄 렁,다니엘 헤니,12세이상관람가,20173221.0,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,8.32
20232025,트랜스포머: 비스트의 서막,2023-06-06,569478,Transformers: Rise of the Beasts,126,미국,액션,,스티븐 카플 주니어,안소니 라모스,피터 딘클리지,,12세이상관람가,20104469.0,파라마운트 픽쳐스,7.22
20231839,인어공주,2023-05-24,631441,The Little Mermaid,135,미국,뮤지컬,가족,롭 마샬,멜리사 맥카시,하비에르 바르뎀,아콰피나,전체관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,6.46
20231677,남은 인생 10년,2023-05-24,113971,The Last 10 Years,124,일본,멜로/로맨스,,후지이 미치히토,고마츠 나나,사카구치 켄타로,,12세이상관람가,20158370.0,(주)디스테이션,7.91
20231603,라이드 온,2023-05-31,9203,Ride On,125,중국,액션,코미디,래리 양,성룡,류호존,,12세이상관람가,20100932.0,(주)넥스트엔터테인먼트월드(NEW),7.66
20231592,분노의 질주: 라이드 오어 다이,2023-05-17,1759978,Fast X,140,미국,액션,,루이스 리테리어,빈 디젤,제이슨 모모아,제이슨 스타뎀,15세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),7.92
20231544,"뮤지컬 공연실황, 알쏭달쏭 캐치! 티니핑 <신비한 상자를 열어라!>",2023-05-03,7776,,61,한국,공연,뮤지컬,홍승희,,,,전체관람가,20063188.0,씨제이 씨지브이(CJ CGV)(주),
20231496,가디언즈 오브 갤럭시: Volume 3,2023-05-03,4155204,Guardians of the Galaxy Volume 3,149,미국,액션,,제임스 건,크리스 프랫,조 샐다나,데이브 바티스타,12세이상관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,9.39
20231481,메리 마이 데드 바디,2023-05-17,20536,Marry My Dead Body,129,대만,코미디,액션,청웨이하오,허광한,임백굉,왕정,12세이상관람가,20229463.0,주식회사 원더스튜디오,8.84
20231348,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,727225,Crayon Shin-chan: Mononoke Ninja Chimpuden,99,일본,애니메이션,,하시모토 마사카즈,,,,전체관람가,20110854.0,(주)씨제이이엔엠,8.36
20231244,렌필드,2023-04-19,47555,Renfield,93,미국,코미디,판타지,크리스 맥케이,니콜라스 홀트,니콜라스 케이지,아콰피나,청소년관람불가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),7.46
20231164,무명,2023-04-26,15976,Hidden Blade,132,중국,스릴러,액션,청어,양조위,왕이보,주신,15세이상관람가,20142968.0,(주)콘텐츠판다,7.88
20231089,존 윅 4,2023-04-12,1913536,John Wick: Chapter 4,169,미국,액션,,채드 스타헬스키,키아누 리브스,로렌스 피쉬번,이안 맥쉐인,청소년관람불가,20229581.0,(주)레드아이스 엔터테인먼트,8.38
20231035,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,18506,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,96,일본,애니메이션,,하타케야마 마모루,,,,12세이상관람가,20158370.0,(주)디스테이션,
20231010,에어,2023-04-05,108258,Air,111,미국,드라마,,벤 애플렉,맷 데이먼,벤 애플렉,제이슨 베이트먼,15세이상관람가,20100043.0,워너브러더스 코리아(주),8.1
20231004,65,2023-04-20,9836,65,92,미국,액션,,스콧 벡,아담 드라이버,아리나 그린블랫,,12세이상관람가,20173221.0,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,5.36
20230943,스트리머,2023-05-10,13203,,88,한국,공포(호러),미스터리,장형모,이푸름,김모범,권민혁,15세이상관람가,20217901.0,하이컨셉픽쳐스(주),6.88
20230767,파벨만스,2023-03-22,68570,The Fabelmans,150,미국,드라마,,스티븐 스필버그,미쉘 윌리엄스,폴 다노,세스 로건,12세이상관람가,20110854.0,(주)씨제이이엔엠,8.81
20230641,오토라는 남자,2023-03-29,33800,A Man Called Otto,125,미국,드라마,,마크 포스터,톰 행크스,,,12세이상관람가,20173221.0,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,8.24
20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,534370,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,109,일본,애니메이션,,소토자키 하루오,하나에 나츠키,키토 아카리,시모노 히로,15세이상관람가,20158370.0,(주)디스테이션,6.72
20230495,아임 히어로 더 파이널,2023-03-01,241455,IM HERO THE FINAL,102,한국,공연,다큐멘터리,오윤동,임영웅,,,전체관람가,20203082.0,씨제이포디플렉스 주식회사,9.85
20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,101563,Everything Everywhere All At Once,150,미국,액션,코미디,다니엘 쉐이너트,양자경,스테파니 수,키 호이 콴,15세이상관람가,20191941.0,워터홀컴퍼니(주),8.91
20230209,앤트맨과 와스프: 퀀텀매니아,2023-02-15,1542582,Ant-Man and the Wasp: Quantumania,124,미국,액션,,페이튼 리드,폴 러드,에반젤린 릴리,미셀 파이퍼,12세이상관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,6.85
20230200,똑똑똑,2023-03-08,21686,Knock at the Cabin,100,미국,미스터리,스릴러,M. 나이트 샤말란,데이브 바티스타,조나단 그로프,루퍼트 그린트,15세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),6.01
20230199,플레인,2023-03-15,35871,Plane,107,미국,액션,스릴러,장-프랑소와 리셰,제라드 버틀러,마이크 콜터,,15세이상관람가,20100634.0,(주)누리픽쳐스,7.71
20230081,샤잠! 신들의 분노,2023-03-15,76896,Shazam! Fury of the Gods,130,미국,액션,어드벤처,데이비드 F. 샌드버그,제커리 리바이,애셔 앤젤,아담 브로디,12세이상관람가,20100043.0,워너브러더스 코리아(주),6.98
20230007,TAR 타르,2023-02-22,16697,TAR,158,미국,드라마,,토드 필드,케이트 블란쳇,노에미 멜랑,니나 호스,15세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),7.81
